age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,education_age_ratio,work_age_ratio,dataset_split
28,2,149624,1,13,2,1,0,4,1,0,0,40,38,1,0.4642857142857143,74.28571428571429,train
27,0,253814,2,9,3,3,4,4,0,0,0,25,38,0,0.3333333333333333,48.14814814814815,train
21,0,312956,2,9,4,4,3,2,1,0,0,40,38,0,0.4285714285714285,99.04761904761904,train
34,0,483777,2,9,4,4,1,2,1,0,0,40,38,0,0.2647058823529412,61.1764705882353,train
18,0,183930,2,9,4,0,3,4,1,0,0,12,38,0,0.5,34.666666666666664,train
33,0,37274,1,13,2,1,0,4,1,0,0,65,38,0,0.3939393939393939,102.42424242424242,train
44,2,181344,1,10,2,1,0,2,1,0,0,38,38,1,0.2272727272727272,44.90909090909091,train
43,0,114580,1,10,0,1,1,4,0,0,0,40,38,0,0.2325581395348837,48.372093023255815,train
30,0,633742,1,10,4,4,1,2,1,0,0,45,38,0,0.3333333333333333,78.0,validation
40,0,286370,4,4,2,4,0,4,1,0,0,40,25,1,0.1,52.0,validation
37,2,29054,1,10,2,1,0,4,1,0,0,42,38,1,0.2702702702702703,59.02702702702703,train
34,0,304030,2,9,2,1,0,2,1,0,0,40,38,0,0.2647058823529412,61.1764705882353,test
41,3,143129,1,13,0,1,1,4,0,0,0,40,38,0,0.3170731707317073,50.73170731707317,train
31,0,99928,2,14,2,1,5,4,0,0,0,50,38,0,0.4516129032258064,83.87096774193549,train
58,2,109567,3,16,2,1,0,4,1,0,0,1,38,1,0.2758620689655172,0.896551724137931,test
38,0,155222,1,10,0,4,1,2,0,0,0,28,38,0,0.2631578947368421,38.31578947368421,train
24,0,159567,1,10,2,4,0,4,1,0,0,40,38,0,0.4166666666666667,86.66666666666667,validation
41,2,523910,1,13,2,4,0,2,1,0,0,40,38,0,0.3170731707317073,50.73170731707317,train
47,0,120939,1,10,2,1,0,4,1,0,0,45,38,0,0.2127659574468085,49.7872340425532,train
41,2,130760,1,13,2,1,0,4,1,0,0,24,38,0,0.3170731707317073,30.4390243902439,train
23,0,197387,4,3,2,4,2,4,1,0,0,40,25,0,0.1304347826086956,90.43478260869566,train
36,0,99374,1,10,0,4,1,4,1,0,0,40,38,0,0.2777777777777778,57.77777777777778,validation
40,2,56795,2,14,4,1,1,4,0,14084,0,55,38,1,0.35,71.5,train
35,0,138992,2,14,2,1,2,4,1,7298,0,40,38,1,0.4,59.42857142857143,train
24,3,32921,2,9,4,3,1,4,1,0,0,40,38,0,0.375,86.66666666666667,train
26,0,397317,2,14,4,1,1,4,0,0,1876,40,38,0,0.5384615384615384,80.0,train
51,0,259323,1,13,2,1,0,4,1,0,0,50,38,1,0.2549019607843137,50.98039215686274,validation
42,2,254817,1,10,4,1,1,4,0,0,1340,40,38,0,0.238095238095238,49.523809523809526,train
37,2,48211,2,9,0,1,4,4,0,0,0,35,38,0,0.2432432432432432,49.18918918918919,train
18,0,140164,4,7,4,3,3,4,0,0,0,40,38,0,0.3888888888888889,115.55555555555556,validation
36,0,128757,1,13,2,0,0,2,1,7298,0,36,38,1,0.3611111111111111,52.0,train
35,0,36270,2,9,0,4,1,4,1,0,0,60,38,0,0.2571428571428571,89.14285714285714,train
58,3,210563,2,9,2,3,5,4,0,15024,0,35,38,1,0.1551724137931034,31.379310344827587,train
17,0,65368,4,7,4,3,3,4,0,0,0,12,38,0,0.4117647058823529,36.70588235294117,train
44,2,160943,2,9,2,4,0,2,1,0,0,40,38,0,0.2045454545454545,47.27272727272727,train
37,0,208358,2,9,2,4,0,4,1,0,0,40,38,1,0.2432432432432432,56.21621621621622,validation
35,0,153790,1,10,4,3,1,0,0,0,0,40,38,0,0.2857142857142857,59.42857142857143,train
60,0,85815,2,9,2,4,0,1,1,0,0,40,38,0,0.15,34.666666666666664,test
54,3,125417,4,4,2,4,0,4,1,0,0,40,38,1,0.074074074074074,38.51851851851852,train
37,0,635913,1,13,4,1,1,2,1,0,0,60,38,1,0.3513513513513513,84.32432432432432,train
50,0,313321,0,12,0,3,1,4,0,0,0,40,38,0,0.24,41.6,validation
38,0,182609,1,13,2,3,0,4,1,0,0,50,30,0,0.3421052631578947,68.42105263157895,test
45,0,109434,1,13,2,1,0,4,1,0,0,55,38,0,0.2888888888888888,63.55555555555556,train
25,0,255004,4,6,4,4,1,4,1,0,0,40,38,0,0.24,83.2,train
31,0,197860,1,10,2,4,0,4,1,0,0,40,38,0,0.3225806451612903,67.09677419354838,train
90,0,51744,2,9,4,0,1,2,1,0,2206,40,38,0,0.1,23.11111111111111,train
54,0,176681,2,9,2,1,0,2,1,0,0,20,38,0,0.1666666666666666,19.25925925925926,train
53,2,140359,4,1,4,4,1,4,0,0,0,35,38,0,0.0188679245283018,34.33962264150944,train
18,0,243313,2,9,4,3,3,4,0,0,0,40,38,0,0.5,115.55555555555556,train
66,3,167687,2,9,2,4,0,4,1,1409,0,50,38,0,0.1363636363636363,39.39393939393939,test
75,0,314209,0,11,6,1,1,4,0,0,0,20,3,0,0.1466666666666666,13.866666666666667,train
65,0,176796,2,9,0,1,1,4,0,0,0,40,38,0,0.1384615384615384,32.0,test
35,0,538583,4,7,5,4,1,2,1,3674,0,40,38,0,0.2,59.42857142857143,train
41,0,130408,2,9,0,3,4,2,0,0,0,38,38,0,0.2195121951219512,48.19512195121951,train
25,0,159732,1,10,4,1,1,4,1,0,0,42,38,0,0.4,87.36,train
33,0,110978,1,10,0,4,2,3,0,0,0,40,38,0,0.303030303030303,63.03030303030303,validation
28,0,76714,2,15,4,1,1,4,1,0,0,55,38,1,0.5357142857142857,102.14285714285714,train
59,2,268700,2,9,2,0,0,4,1,0,0,40,38,0,0.1525423728813559,35.25423728813559,test
40,2,170525,1,10,4,1,1,4,0,0,0,38,38,0,0.25,49.4,test
41,0,180138,1,13,2,1,0,4,1,0,0,50,19,1,0.3170731707317073,63.41463414634146,validation
38,2,115076,2,14,2,1,0,4,1,0,0,70,38,1,0.3684210526315789,95.78947368421052,train
23,0,115458,2,9,4,4,3,4,1,0,0,40,38,0,0.391304347826087,90.43478260869566,train
40,0,347890,1,13,2,1,0,4,1,0,0,40,38,1,0.325,52.0,validation
41,3,196001,2,9,2,0,5,4,0,0,0,20,38,0,0.2195121951219512,25.365853658536587,test
24,2,273905,0,12,2,2,0,4,1,0,0,50,38,0,0.5,108.33333333333331,train
38,0,179488,1,10,0,4,1,4,1,0,1741,40,38,0,0.2631578947368421,54.73684210526316,validation
58,0,236596,2,9,2,1,0,4,1,0,0,45,38,1,0.1551724137931034,40.3448275862069,train
32,0,183916,2,9,4,0,1,4,0,0,0,34,38,0,0.28125,55.25,train
40,0,207578,0,12,2,1,0,4,1,0,1977,60,38,1,0.3,78.0,test
41,0,112763,2,15,2,1,5,4,0,0,0,40,38,1,0.3658536585365853,50.73170731707317,train
42,0,390781,1,13,2,1,5,2,0,0,0,40,38,0,0.3095238095238095,49.523809523809526,train
59,2,171328,4,6,6,0,4,2,0,0,0,30,38,0,0.1016949152542373,26.440677966101696,validation
19,2,27382,1,10,4,1,3,4,1,0,0,40,38,0,0.5263157894736842,109.47368421052632,test
58,0,259014,1,10,4,4,1,4,1,0,0,20,38,0,0.1724137931034483,17.93103448275862,train
42,3,303044,2,9,2,4,0,1,1,0,0,40,0,1,0.2142857142857142,49.523809523809526,train
20,0,117789,2,9,4,0,3,4,0,0,0,40,38,0,0.45,104.0,train
32,0,172579,2,9,5,0,1,4,0,0,0,30,38,0,0.28125,48.75,train
45,0,187666,0,11,6,1,1,4,0,0,0,45,38,0,0.2444444444444444,52.0,train
50,0,204518,4,4,0,4,1,4,1,0,0,40,38,0,0.08,41.6,train
36,0,150042,1,13,0,1,3,4,0,0,0,40,38,0,0.3611111111111111,57.77777777777778,train
45,0,98092,2,9,2,3,0,4,1,0,0,60,38,0,0.2,69.33333333333333,validation
17,0,245918,4,7,4,0,3,4,1,0,0,12,38,0,0.4117647058823529,36.70588235294117,train
59,0,146013,1,10,2,3,0,4,1,4064,0,40,38,0,0.1694915254237288,35.25423728813559,train
26,0,378322,4,7,2,4,0,4,1,0,0,40,38,0,0.2692307692307692,80.0,train
37,3,257295,1,10,2,1,0,1,1,0,0,75,36,1,0.2702702702702703,105.4054054054054,test
64,0,21174,2,9,2,1,0,4,1,0,0,40,38,1,0.140625,32.5,train
33,0,185480,1,13,4,1,1,4,0,0,0,45,38,0,0.3939393939393939,70.9090909090909,validation
33,0,222205,2,9,2,4,5,4,0,0,0,40,38,1,0.2727272727272727,63.03030303030303,train
61,0,69867,2,9,2,1,0,4,1,0,0,40,38,1,0.1475409836065573,34.09836065573771,test
17,0,191260,4,5,4,0,3,4,1,1055,0,24,38,0,0.2941176470588235,73.41176470588235,train
50,3,30653,2,14,2,4,0,4,1,2407,0,98,38,0,0.28,101.92,train
27,2,209109,2,14,4,1,3,4,1,0,0,35,38,0,0.5185185185185185,67.4074074074074,test
30,0,70377,2,9,0,1,3,4,0,0,0,40,38,0,0.3,69.33333333333333,validation
43,0,477983,2,9,2,4,0,2,1,0,0,40,38,0,0.2093023255813953,48.372093023255815,train
44,0,170924,1,10,2,4,0,4,1,7298,0,40,38,1,0.2272727272727272,47.27272727272727,train
35,0,190174,1,10,4,1,1,4,0,0,0,40,38,0,0.2857142857142857,59.42857142857143,train
25,0,193787,1,10,4,1,3,4,0,0,0,40,38,0,0.4,83.2,train
24,0,279472,1,10,2,4,5,4,0,7298,0,48,38,1,0.4166666666666667,104.0,train
22,0,34918,1,13,4,1,1,4,0,0,0,15,10,0,0.5909090909090909,35.45454545454545,validation
42,2,97688,1,10,2,4,0,4,1,5178,0,40,38,1,0.238095238095238,49.523809523809526,train
34,0,175413,0,12,0,3,4,2,0,0,0,45,38,0,0.3529411764705882,68.82352941176471,test
60,0,173960,1,13,0,1,1,4,0,0,0,42,38,0,0.2166666666666666,36.4,train
21,0,205759,2,9,4,4,3,4,1,0,0,40,38,0,0.4285714285714285,99.04761904761904,test
57,2,425161,2,14,2,3,0,4,1,15024,0,40,38,1,0.2456140350877192,36.49122807017544,train
41,0,220531,2,15,2,1,0,4,1,0,0,60,38,1,0.3658536585365853,76.09756097560975,validation
50,0,176609,1,10,0,0,1,4,1,0,0,45,38,0,0.2,46.8,test
25,0,371987,1,13,4,1,1,4,0,0,0,40,38,0,0.52,83.2,test
50,0,193884,4,4,2,4,0,4,1,0,0,40,6,0,0.08,41.6,train
36,0,200352,1,13,2,1,0,4,1,0,0,45,38,0,0.3611111111111111,65.0,train
31,0,127595,2,9,0,1,1,4,0,0,0,40,38,0,0.2903225806451613,67.09677419354838,train
29,2,220419,1,13,4,2,1,4,1,0,0,56,38,0,0.4482758620689655,100.41379310344828,train
21,0,231931,1,10,4,3,3,4,1,0,0,45,38,0,0.4761904761904761,111.42857142857144,train
27,0,248402,1,13,4,1,4,2,0,0,0,40,38,0,0.4814814814814814,77.03703703703704,train
65,0,111095,2,9,2,4,0,4,1,0,0,16,38,0,0.1384615384615384,12.8,train
37,3,57424,1,13,0,3,1,4,0,0,0,60,38,0,0.3513513513513513,84.32432432432432,test
24,0,278130,2,9,4,4,3,4,1,0,0,40,38,0,0.375,86.66666666666667,validation
38,0,169469,2,9,0,3,1,4,1,0,0,80,38,0,0.2368421052631578,109.47368421052632,train
48,0,146268,1,13,2,1,0,4,1,7688,0,40,38,1,0.2708333333333333,43.333333333333336,train
21,0,153718,1,10,4,0,1,1,0,0,0,25,38,0,0.4761904761904761,61.90476190476191,train
31,0,217460,2,9,2,4,0,4,1,0,0,45,38,1,0.2903225806451613,75.48387096774194,validation
55,0,238638,2,9,2,3,0,4,1,4386,0,40,38,1,0.1636363636363636,37.81818181818182,validation
24,0,303296,1,10,2,1,5,1,0,0,0,40,24,0,0.4166666666666667,86.66666666666667,test
43,0,173321,2,9,0,1,1,4,0,0,0,40,38,0,0.2093023255813953,48.372093023255815,train
26,0,193945,0,12,4,1,1,4,1,0,0,45,38,0,0.4615384615384615,90.0,train
46,0,83082,0,12,4,1,1,4,0,0,0,33,38,0,0.2608695652173913,37.30434782608695,test
